date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:48	15374/15374	---M--	200	added ('OK')	text/html	etag:%223c0e-61637959af511%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc241.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc241.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:48	11136/11136	---M--	200	added ('OK')	text/html	etag:%222b80-6163795a4ebb8%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc242.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc242.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:50	5451/5451	---M--	200	added ('OK')	text/html	etag:%22154b-6163795c2faa2%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc261.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc261.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:50	10810/10810	---M--	200	added ('OK')	text/html	etag:%222a3a-6163795cdfae4%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc262.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc262.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:52	17610/17610	---M--	200	added ('OK')	text/html	etag:%2244ca-6163795d891b4%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc263.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc263.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:52	8442/8442	---M--	200	added ('OK')	text/html	etag:%2220fa-6163795e26147%22	https://www.itl.nist.gov/div898/handbook/prc/section2/prc264.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section2/prc264.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:53	6682/6682	---M--	200	added ('OK')	text/html	etag:%221a1a-616379aa79b8c%22	https://www.itl.nist.gov/div898/handbook/prc/section3/prc311.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section3/prc311.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:54	7026/7026	---M--	200	added ('OK')	text/html	etag:%221b72-616379ab1b555%22	https://www.itl.nist.gov/div898/handbook/prc/section3/prc312.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section3/prc312.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:56	7776/7776	---M--	200	added ('OK')	text/html	etag:%221e60-61637c694e055%22	https://www.itl.nist.gov/div898/handbook/prc/section4/prc431.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section4/prc431.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
13:46:56	6780/6780	---M--	200	added ('OK')	text/html	etag:%221a7c-61637c69ed314%22	https://www.itl.nist.gov/div898/handbook/prc/section4/prc432.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/section4/prc432.html	(from https://www.itl.nist.gov/div898/handbook/dtoc.htm)
